name,population,lat,lon,region
طرابلس المركز,180644,32.8906768,13.1862914,المنطقة الغربية
حي الأندلس,320720,32.8693217,13.1332675,المنطقة الغربية
أبوسليم,294163,32.8680379,13.1634297,المنطقة الغربية
سوق الجمعة,316863,32.8891654,13.2358141,المنطقة الغربية
عين زارة,130579,32.830077,13.21069,المنطقة الغربية
مصراتة,375456,32.3751503,15.0136819,المنطقة الغربية
زليتن,238473,32.4687523,14.5658068,المنطقة الغربية
الخمس,193556,32.6518963,14.2671298,المنطقة الغربية
مسلاتة,84515,32.5825489,14.0390811,المنطقة الغربية
تاورغاء,32808,32.0095895,15.0540917,المنطقة الغربية
ترهونة,179690,32.398866,13.572865,المنطقة الغربية
بني وليد,87989,31.7559898,14.0173893,المنطقة الغربية
قصر الأخيار,61053,32.6962948,13.8423446,المنطقة الغربية
القرة بولي,47089,32.7452102,13.7096953,المنطقة الغربية
تاجوراء,128953,32.8854531,13.3630581,المنطقة الغربية
قصر بن غشير,111548,32.686987,13.1767578,المنطقة الغربية
سواني بن ادم,41532,32.7120495,13.0671473,المنطقة الغربية
جنزور,184797,32.8348914,13.0687198,المنطقة الغربية
العزيزية,45530,32.5242385,13.0145714,المنطقة الغربية
العامرية,14673,32.633249,12.9486745,المنطقة الغربية
الزاوية,183741,32.7477278,12.6919772,المنطقة الغربية
الزاوية الغرب,101963,32.7589158,12.6359917,المنطقة الغربية
الزاوية الجنوب,13206,32.7518588,12.7252032,المنطقة الغربية
أبو صرة,12985,32.7380208,12.7628298,المنطقة الغربية
الزهراء,27546,32.6357742,12.8650866,المنطقة الغربية
الناصرية,22421,32.6309723,12.8711164,المنطقة الغربية
الماية,95329,32.7969149,12.8964533,المنطقة الغربية
المعمورة,27645,32.7235511,12.849876,المنطقة الغربية
الحشان,24134,32.7571047,12.9076479,المنطقة الغربية
الجليدة,4708,32.5985556,12.5629859,المنطقة الغربية
صرمان,83009,32.7692967,12.5474582,المنطقة الغربية
صبراتة,98402,32.7902016,12.4856424,المنطقة الغربية
العجيلات,64724,32.708943,12.3006826,المنطقة الغربية
الجديدة,37802,32.7710248,12.2826481,المنطقة الغربية
الجميل,53711,32.8559851,12.054972,المنطقة الغربية
المنشية,27866,32.8617662,12.0682472,المنطقة الغربية
زوارة,38816,32.9209918,12.0896982,المنطقة الغربية
